Index,Lab,Group,Plot,Spider ID,Body Length,Web Height,Web Diam 1,Web Diam 2,Strand density,# of Radii,Orientation,Stabilimentum,Substrate,Notes 
57,Wednesday,Sophia et al.,3,Leucauge venusta,10,46,35,30,10,36,15,a,c,2 spiders on web 
58,Wednesday,Claire et al.,1,Leucauge venusta,5,80,51,15,5,24,20,a,c,center unclear
59,Wednesday,Claire et al.,1,Leucauge venusta,2.5,60,12,1,58,10,45,a,c,benath palm fronds
60,Wednesday,Claire et al.,1,Leucauge venusta,7.5,51,29.5,5,13,52,35,a,c,"palm fronds semicircle, connected kind of "
61,Wednesday,Claire et al.,1,Leucauge venusta,2,48,14,2,18,18,69,a,m,
62,Wednesday,Claire et al.,1,Unknown ,,37,16,14,9,20,90,a,m,small red spider ovary and white???
63,Wednesday,Claire et al.,1,Leucauge venusta,1,54,8,10,10,2,45,a,c,fronds
64,Wednesday,Claire et al.,1,Verrucosa arenata,1,98,23,5,22,28,45,a,m,
65,Wednesday,Claire et al.,1,Empty,,71,9,4,11,8,40,a,c,fronds
66,Wednesday,Claire et al.,1,Leucauge venusta,1,46,11,5,29,52,10,a,c,
67,Wednesday,Claire et al.,1,Nephila clavipes,25,142,162,26,11,104,80,a,f,close to previous web
68,Wednesday,Claire et al.,1,Leucauge venusta,2,150,13,9,20,15,30,a,m,stem and fronds 
69,Wednesday,Claire et al.,1,Leucauge venusta,5,50,19,10,12,16,5,a,c,
70,Wednesday,Claire et al.,***,Argiope aurantia,30,112,70,18,8,36,60,p,m,2m outside of transect 
71,Wednesday,Nelle et al.,1,Leucauge venusta,3,81,46,29,25,8,0,a,c,half built
72,Wednesday,Nelle et al.,1,Gasteracantha cancriformis,8,178,54,46,17,26,70,a,m,
73,Wednesday,Nelle et al.,1,Leucauge venusta,3,117,27,21,16,34,12,a,c,100% shaded
74,Wednesday,Nelle et al.,2,Nephila clavipes,30,172,94,74,20,247,47,a,m,babies minor web damage
75,Wednesday,Nelle et al.,2,Leucauge venusta,4,143,36,30,15,33,20,a,c,shaded minor web damage
76,Wednesday,Nelle et al.,2,Gasteracantha cancriformis,3,205,49,40,11,15,78,a,m,1/3 built
77,Wednesday,Nelle et al.,3,Gasteracantha cancriformis,5,235,56,47,6,39,85,a,f,minor web damage
78,Wednesday,Nelle et al.,3,Nephila clavipes,34,229,101,93,18,325,75,a,m,in open
79,Wednesday,Nelle et al.,3,Leucauge venusta,2,149,24,20,12,36,5,a,c,shaded
80,Wednesday,Nelle et al.,3,Leucauge venusta,7,75,30,43,17,30,40,a,c,leaf in web shaded
81,Wednesday,Nelle et al.,3,Leucauge venusta,6,26,29,11,7,24,80,a,c,"cricket prey, extensive damage "
82,Wednesday,Nelle et al.,4,Unknown,20,210,60,44,,,60,a,c,"babies, extensive web damage "
83,Wednesday,Nelle et al.,4,Gasteracantha cancriformis,7,125,28,39,12,26,83,a,m,1/2 web damaged
84,Wednesday,Nelle et al.,4,Gasteracantha cancriformis,6,206,57,55,10,10,90,a,m,1/3 web extensive damage 
85,Wednesday,Nelle et al.,5,Leucauge venusta,2,134,28,23,16,34,5,a,c,3 more orchard spiders in plot 5 
86,Wednesday,Gabriella et al.,1,Nephila clavipes,18,185,13,4,2,2,85,a,f,building web
87,Wednesday,Gabriella et al.,1,Leucauge venusta,1.5,145,17,14,64,44,12,a,c,prey
88,Wednesday,Gabriella et al.,1,Leucauge venusta,1,53,10.5,8,28,46,20,a,c,damage
89,Wednesday,Gabriella et al.,1,Gasteracantha cancriformis,8,223,46,35,5,32,80,a,f,2 prey items
90,Wednesday,Gabriella et al.,2,Leucauge venusta,9,88,33,25,16,52,30,a,c,slight damage
91,Wednesday,Gabriella et al.,2,Nephila clavipes,60,186,86,58,15,128,80,a,m,slight damage
92,Wednesday,Gabriella et al.,2,Nephila clavipes,40,178,10,6,2,3,85,a,f,extreme damage
93,Wednesday,Gabriella et al.,2,Leucauge venusta,5,137,18,10,12,15,5,a,c,damage 2 spiders on the web (below is 2nd spider)
94,Wednesday,Gabriella et al.,2,Leucauge venusta,5,137,18,10,12,15,5,a,c,damage 2 spiders on the web (above is 2nd spider)
95,Wednesday,Gabriella et al.,3,Leucauge venusta,10,93,27,25,20,44,32,a,c,damage
96,Wednesday,Gabriella et al.,3,Leucauge venusta,10,85,16,13,22,28,5,a,c,ant prey 
97,Wednesday,Gabriella et al.,3,Leucauge venusta,10,103,28,15,19,32,23,a,c,damage
98,Wednesday,Gabriella et al.,3,Leucauge venusta,3,148,28,8,3,15,30,a,c,building web
99,Wednesday,Meghan et al.,1,Nephila clavipes,24,57,56.5,54,13,160,75,a,m,leaves and prey
100,Wednesday,Meghan et al.,1,Nephila clavipes,30,240,90,96.5,10,170,60,a,f,big
101,Wednesday,Meghan et al.,1,Leucauge venusta,5,28,8,5,7,24,83,a,c,"palm fronds semicircle, connected kind of "
102,Wednesday,Meghan et al.,1,Gasteracantha cancriformis,9,153,52,40,9,17,63,a,m,white patches
103,Wednesday,Meghan et al.,1,Leucauge venusta,2,112,36,25,14,36,10,a,c,palm 
104,Wednesday,Meghan et al.,1,Leucauge venusta,6,116,32,31,15,56,6,a,c,palm 
105,Wednesday,Meghan et al.,1,Leucauge venusta,2,88,6,5,12,22,46,a,c,tree
106,Wednesday,Meghan et al.,2,Leucauge venusta,3,125,9,3.5,3,10,5,a,c,palm
107,Wednesday,Meghan et al.,2,Nephila clavipes,25,145,59,51,15,160,65,a,m,golden web 
108,Wednesday,Meghan et al.,2,Leucauge venusta,5,112,22,18,18,28,11,a,c,fly prey
109,Wednesday,Meghan et al.,2,Leucauge venusta,4,170,19,15,17,36,43,a,c,palm 
110,Tuesday,1,1,Leucauge venusta,1.5,53,26,11,18,17,20,a,c,damage
111,Tuesday,1,1,Leucauge venusta,4,207,124,22,13,19,40,a,c,prey
112,Tuesday,1,1,Leucauge venusta,7,178,275,53,13,14,50,a,c,"prey, damage"
113,Tuesday,1,2,Verrucosa arenata,6,16,58,17,6,38,60,a,c,prey
114,Tuesday,1,2,Verrucosa arenata,9,17,57,13,11,9,20,a,c,"prey, damage"
115,Tuesday,1,2,Argiope aurantia,20,95,56,32,8,30,88,a,p,"prey, damage"
116,Tuesday,1,3,Leucauge venusta,8,57,52,26,11,15,45,a,c,damage
117,Tuesday,1,3,Leucauge venusta,3,212,38,15,14,15,70,a,c,
118,Tuesday,1,3,Gasteracantha cancriformis,10,174,130,60,3,9,80,a,m,damage
119,Tuesday,1,3,Gasteracantha cancriformis,11,102,119,59,4,8,60,a,m,"prey, damage"
120,Tuesday,1,3,Leucauge venusta,3,146,45,34,10,20,69,a,c,prey
121,Tuesday,2,1,Nephila clavipes,42,72,70,70,6,74,80,a,f,
122,Tuesday,2,2,Leucauge venusta,12,205,22,15,8,23,20,a,c,
123,Tuesday,2,2,Nephila clavipes,50,82,46,48,6,60,60,a,c,
124,Tuesday,2,2,Nephila clavipes,30,314,86,65,13,300,65,a,m,
125,Tuesday,2,3,Leucauge venusta,5,188,13,12,4,15,0,a,c,
126,Tuesday,2,3,Gasteracantha cancriformis,9,208,22,20,1,8,80,a,m,
127,Tuesday,2,3,Leucauge venusta,1,102,33,23,13,12,20,a,c,
128,Tuesday,2,3,Gasteracantha cancriformis,1,190,20,10,1,6,70,a,c,
129,Tuesday,2,3,Nephila clavipes,35,243,80,74,15,190,90,a,f,
